員工ID,姓名,性別,年齡,入職日期,部門,職位,每月平均出勤天數,請假天數,遲到次數,基本薪資,年度獎金,加班費,年度績效評分,季度績效評分,升遷次數,員工滿意度評分,近期反饋內容,壓力指數,工作滿意度,最近一次訪談情緒分析,是否有內部轉調,最近一次升遷時間,是否申請過離職
E0001,員工001,女,48,2010-12-03,財務,經理,21,9,5,75246,32621,2353,2.46,2.27,3,1.97,希望有更多學習機會,7.77,1.26,負向,是,2014-10-08,是
E0002,員工002,女,55,2015-08-21,營運,經理,25,2,1,38156,43545,11829,2.83,3.4,1,3.32,工作負擔過重,7.92,4.94,中立,是,2016-04-18,否
E0003,員工003,男,47,2018-06-21,人資,專員,25,4,3,34480,10988,4751,3.17,4.13,3,4.9,薪資有競爭力,7.01,2.21,中立,是,2019-08-23,否
E0004,員工004,女,49,2019-01-05,營運,專員,22,4,0,86611,10497,17877,1.38,4.23,1,2.84,工作壓力大,7.42,4.04,負向,是,2020-04-23,否
E0005,員工005,男,41,2019-05-11,客服,總監,23,0,4,48731,32097,6360,1.57,3.92,3,2.98,對公司文化滿意,7.56,3.79,中立,否,2020-06-14,否
E0006,員工006,女,57,2015-06-24,客服,主管,25,4,2,69522,14808,8815,2.83,4.76,2,2.0,工作壓力大,1.3,1.95,正向,否,2019-06-25,是
E0007,員工007,女,60,2019-07-31,營運,總監,25,0,2,95753,29182,19275,1.2,3.45,3,4.58,工作壓力大,5.12,2.3,正向,是,2020-03-01,是
E0008,員工008,男,56,2012-05-23,行銷,經理,18,2,3,60837,29402,6643,1.81,1.86,0,1.9,對公司文化滿意,9.83,3.73,正向,否,2013-02-13,是
E0009,員工009,女,27,2018-06-11,產品,專員,24,6,4,98196,25346,13050,1.77,2.07,0,3.31,工作壓力大,1.53,1.86,正向,否,2020-06-19,是
E0010,員工010,女,42,2021-02-02,人資,資深經理,24,7,4,68119,18173,4805,2.61,3.55,2,4.38,希望有更多學習機會,3.27,3.71,負向,是,2024-02-08,否
E0011,員工011,男,46,2022-02-16,財務,資深經理,23,5,2,55621,542,9300,1.64,4.59,1,1.5,對公司文化滿意,1.15,2.27,正向,是,2024-11-06,否
E0012,員工012,女,47,2014-03-23,產品,資深經理,20,4,3,114356,42966,11605,1.99,1.19,1,3.07,工作壓力大,1.84,4.84,負向,是,2018-01-24,否
E0013,員工013,女,55,2023-08-09,營運,經理,20,7,1,67373,32563,4189,3.8,1.01,2,1.01,工作負擔過重,2.76,3.24,中立,是,2024-08-16,否
E0014,員工014,男,23,2014-05-07,營運,專員,23,7,2,99393,37623,235,1.11,2.44,3,2.07,薪資有競爭力,1.92,3.01,負向,否,2017-08-16,否
E0015,員工015,男,27,2012-12-29,人資,資深專員,20,8,2,63265,45099,15908,3.79,2.79,3,1.06,工作壓力大,1.51,2.93,正向,是,2014-11-18,是
E0016,員工016,女,60,2021-06-30,產品,專員,23,10,4,66222,7857,1925,4.07,2.59,3,4.88,工作負擔過重,1.9,4.5,正向,是,2024-04-09,是
E0017,員工017,女,34,2018-09-29,產品,資深經理,24,0,2,51620,46991,17498,3.1,2.47,3,2.73,希望有更多學習機會,2.55,2.67,中立,是,2019-09-24,是
E0018,員工018,男,55,2022-05-15,客服,專員,23,6,5,74666,2470,3324,3.25,2.57,3,3.0,對公司文化滿意,2.2,2.09,中立,否,2025-04-10,是
E0019,員工019,女,46,2014-09-29,產品,總監,18,10,1,102035,29903,606,3.04,2.07,3,1.06,對公司文化滿意,5.87,1.68,負向,否,2015-07-20,是
E0020,員工020,男,59,2022-06-27,財務,經理,20,9,1,84224,39802,6699,3.98,1.26,1,1.29,薪資有競爭力,2.0,1.75,正向,是,2026-05-17,是
E0021,員工021,男,38,2014-01-21,產品,經理,25,10,4,96471,37220,11279,1.3,2.4,2,1.18,工作壓力大,1.76,2.67,負向,否,2018-03-01,是
E0022,員工022,男,35,2010-03-05,行銷,主管,20,3,2,39742,17587,6044,3.04,4.16,0,1.09,對公司文化滿意,8.64,4.44,中立,否,2013-04-14,否
E0023,員工023,男,43,2013-12-08,財務,經理,23,1,4,79565,3044,12393,2.37,1.06,1,4.42,希望有更多學習機會,5.56,4.55,中立,否,2016-05-09,是
E0024,員工024,女,38,2015-07-01,客服,主管,21,2,4,50030,23590,16243,4.01,4.83,1,3.84,工作負擔過重,4.98,2.57,中立,否,2018-11-23,否
E0025,員工025,女,52,2010-05-12,工程,資深專員,24,5,1,53501,48507,15224,2.94,1.35,0,1.43,工作負擔過重,5.31,1.14,中立,否,2010-12-02,是
E0026,員工026,女,45,2021-05-12,工程,資深專員,23,4,4,59775,36423,5003,4.51,3.39,2,1.99,工作壓力大,2.43,4.89,中立,否,2022-11-01,否
E0027,員工027,男,58,2018-03-16,行銷,經理,24,6,0,101978,21328,17244,3.57,3.55,1,3.07,對公司文化滿意,6.0,3.58,負向,否,2018-10-03,是
E0028,員工028,女,27,2020-08-11,財務,資深專員,23,4,2,75045,23436,18025,1.94,1.57,3,2.12,薪資有競爭力,9.7,1.19,中立,是,2021-05-21,否
E0029,員工029,女,51,2021-06-01,財務,資深經理,25,7,1,102519,41633,12585,3.96,2.4,1,1.81,工作負擔過重,1.49,2.16,中立,否,2022-02-10,是
E0030,員工030,男,26,2023-06-23,財務,專員,19,6,0,30184,33448,6780,1.22,3.07,1,4.81,工作負擔過重,9.61,1.68,中立,否,2026-08-04,否
E0031,員工031,女,57,2017-11-17,行銷,專員,20,0,3,93288,38785,12384,4.71,1.71,1,3.9,薪資有競爭力,5.83,3.46,正向,是,2021-06-05,是
E0032,員工032,男,33,2014-01-24,客服,經理,20,5,2,72118,44593,4489,3.88,2.55,2,1.7,工作負擔過重,3.89,4.51,中立,否,2015-02-18,是
E0033,員工033,女,25,2017-03-26,營運,總監,22,3,2,96815,27255,15824,4.09,1.09,0,4.2,薪資有競爭力,9.78,2.22,正向,否,2019-07-20,是
E0034,員工034,女,31,2021-02-14,人資,主管,23,8,5,98783,20286,14584,4.23,1.56,0,2.4,工作壓力大,5.53,3.87,正向,否,2024-12-07,否
E0035,員工035,女,48,2020-11-07,營運,專員,24,1,2,93371,32007,19689,4.56,2.27,1,3.0,對公司文化滿意,4.59,1.29,中立,是,2023-12-25,否
E0036,員工036,男,44,2016-12-25,財務,總監,24,6,1,58927,35085,10128,1.18,2.73,2,3.51,對公司文化滿意,6.9,4.19,中立,否,2018-03-02,否
E0037,員工037,女,32,2015-12-17,營運,主管,23,3,3,49989,2741,3702,4.17,3.99,0,3.07,工作壓力大,3.49,4.22,中立,是,2017-09-10,否
E0038,員工038,男,58,2011-03-13,人資,資深專員,23,9,3,49879,37141,10410,3.65,4.25,0,1.15,工作壓力大,2.83,2.69,負向,是,2013-12-17,是
E0039,員工039,男,28,2010-07-10,財務,主管,23,8,5,47951,19524,8657,1.91,2.25,3,4.7,對公司文化滿意,7.27,2.15,中立,是,2013-03-02,否
E0040,員工040,男,49,2010-05-22,產品,資深專員,20,1,2,69787,47760,13454,4.36,4.57,0,4.15,工作負擔過重,9.02,3.88,正向,是,2011-04-28,否
E0041,員工041,女,29,2013-11-02,人資,經理,21,3,0,93188,34132,12152,4.2,3.2,1,2.68,薪資有競爭力,4.74,3.85,負向,是,2016-10-10,是
E0042,員工042,女,58,2019-11-28,財務,主管,22,7,5,101395,47049,8106,1.75,4.73,0,4.2,工作壓力大,8.5,1.66,正向,否,2021-02-03,否
E0043,員工043,男,31,2010-04-03,工程,資深專員,23,3,1,41520,46936,8428,1.6,3.23,0,4.78,工作負擔過重,4.12,4.5,負向,否,2012-10-15,是
E0044,員工044,男,37,2021-07-19,營運,專員,22,5,4,45628,26572,7952,1.69,2.46,3,1.52,工作負擔過重,7.27,1.06,負向,是,2024-11-10,否
E0045,員工045,男,37,2017-11-30,工程,總監,19,1,4,95063,13837,13464,3.54,3.09,2,1.97,希望有更多學習機會,3.9,1.2,負向,是,2020-10-18,否
E0046,員工046,男,37,2021-12-07,工程,資深專員,22,0,1,53499,49144,19631,1.63,3.28,0,3.89,希望有更多學習機會,6.33,2.51,正向,是,2025-05-19,是
E0047,員工047,女,55,2015-08-03,行銷,總監,22,7,5,93905,49750,12288,1.95,3.08,3,1.7,希望有更多學習機會,8.0,4.96,中立,是,2016-07-20,是
E0048,員工048,男,31,2017-12-09,產品,專員,22,7,3,105280,19130,10298,3.56,2.64,1,2.65,希望有更多學習機會,6.93,4.42,中立,否,2020-11-04,否
E0049,員工049,女,46,2017-05-27,人資,經理,21,4,0,59813,2484,1237,1.24,3.74,1,3.72,希望有更多學習機會,6.05,2.03,中立,是,2020-06-27,是
E0050,員工050,男,29,2010-05-26,客服,主管,19,4,1,95371,41468,17017,3.73,4.8,1,3.93,對公司文化滿意,6.36,1.6,負向,是,2013-04-26,是
E0051,員工051,男,25,2016-02-26,財務,總監,23,10,4,38414,44688,13083,1.53,4.47,1,3.96,薪資有競爭力,9.03,3.11,負向,否,2019-08-23,否
E0052,員工052,男,36,2019-07-16,行銷,專員,24,2,1,50659,19025,14128,2.44,2.94,1,4.92,工作壓力大,5.78,2.17,負向,否,2021-07-03,否
E0053,員工053,女,32,2019-07-10,人資,專員,24,6,2,92720,13418,18496,2.51,1.67,0,3.67,工作負擔過重,5.82,1.81,負向,是,2023-04-07,是
E0054,員工054,女,52,2010-07-04,人資,資深專員,22,2,5,82015,49392,7164,3.98,1.23,1,2.01,對公司文化滿意,7.37,1.65,負向,是,2012-12-26,否
E0055,員工055,男,22,2018-08-14,財務,總監,18,0,2,84245,8424,8625,3.91,1.03,3,2.24,工作負擔過重,5.18,4.3,負向,否,2021-01-31,否
E0056,員工056,女,45,2017-07-23,客服,總監,18,0,4,96470,26221,18496,2.65,3.52,0,2.0,工作負擔過重,8.44,2.41,正向,否,2019-06-01,否
E0057,員工057,女,23,2023-09-06,行銷,主管,22,9,2,103703,25725,9217,3.58,2.27,1,3.61,希望有更多學習機會,2.08,1.9,正向,是,2026-07-27,是
E0058,員工058,女,50,2023-01-17,產品,總監,20,7,5,90568,36705,955,1.45,4.59,2,4.15,對公司文化滿意,9.85,1.36,中立,是,2024-01-30,是
E0059,員工059,男,53,2021-09-17,營運,主管,24,7,2,48954,46719,17844,2.31,1.52,2,1.19,希望有更多學習機會,4.32,3.46,負向,否,2023-01-04,否
E0060,員工060,女,55,2021-02-27,客服,專員,23,6,4,40043,48220,556,1.41,3.42,0,1.2,對公司文化滿意,2.77,1.94,正向,是,2023-12-02,是
E0061,員工061,女,51,2015-04-19,客服,資深經理,18,0,1,47413,14994,3953,2.05,2.77,2,3.31,薪資有競爭力,4.9,3.66,正向,是,2018-06-09,是
E0062,員工062,男,23,2010-09-14,客服,經理,25,2,5,69724,43390,18361,4.06,2.21,1,3.63,工作負擔過重,2.41,4.63,負向,否,2013-05-27,否
E0063,員工063,女,46,2014-01-21,客服,經理,19,7,1,103792,28066,13214,1.73,4.77,2,4.19,希望有更多學習機會,2.18,1.45,負向,是,2016-10-01,是
E0064,員工064,男,25,2021-06-22,營運,資深經理,25,4,0,93612,35759,14580,2.32,1.19,2,3.89,對公司文化滿意,6.25,3.6,中立,否,2024-07-15,否
E0065,員工065,男,25,2019-04-20,營運,總監,25,0,1,77151,16740,3011,3.91,1.85,1,2.64,希望有更多學習機會,8.62,3.35,中立,否,2021-04-11,是
E0066,員工066,女,26,2022-06-02,客服,專員,23,5,2,42515,6396,1810,1.63,3.99,3,3.75,希望有更多學習機會,3.5,2.79,負向,否,2024-06-16,否
E0067,員工067,女,37,2011-09-12,工程,主管,19,9,2,53139,34440,7568,2.78,1.28,3,2.58,薪資有競爭力,2.19,3.95,負向,是,2014-06-09,否
E0068,員工068,女,30,2021-11-08,人資,資深經理,22,8,5,50210,49021,5815,3.7,3.17,2,1.47,工作壓力大,6.53,2.54,正向,否,2024-10-13,否
E0069,員工069,男,30,2014-09-26,產品,總監,21,5,3,51926,6383,5799,1.71,4.57,2,3.32,工作壓力大,5.82,1.92,正向,否,2016-08-04,否
E0070,員工070,女,53,2013-09-16,工程,總監,23,3,1,112898,5184,5875,2.62,2.84,1,1.13,薪資有競爭力,6.62,3.88,負向,是,2015-03-26,否
E0071,員工071,女,38,2013-01-10,人資,資深專員,20,6,3,109288,21686,14043,2.95,1.3,3,2.46,希望有更多學習機會,7.06,1.68,中立,是,2016-11-03,是
E0072,員工072,女,32,2011-08-14,人資,資深經理,24,0,4,110437,8169,8553,2.85,1.59,2,1.3,工作壓力大,2.24,1.51,正向,否,2013-05-23,否
E0073,員工073,女,57,2017-05-30,行銷,資深專員,22,3,0,106279,6660,11716,3.97,2.25,2,4.51,薪資有競爭力,7.71,3.45,正向,否,2020-07-25,是
E0074,員工074,女,31,2023-07-20,人資,專員,19,2,2,53764,14069,16473,3.36,2.49,1,2.99,工作負擔過重,7.5,3.85,負向,否,2026-11-25,是
E0075,員工075,男,47,2011-03-05,行銷,資深經理,20,4,0,107114,13427,13579,4.55,2.38,2,2.67,希望有更多學習機會,7.39,2.02,中立,否,2014-06-29,是
E0076,員工076,女,52,2018-06-21,工程,總監,23,0,0,76517,2435,1958,1.55,1.27,1,4.28,希望有更多學習機會,8.85,2.99,中立,否,2021-08-15,是
E0077,員工077,男,33,2015-05-27,產品,經理,21,1,1,60533,18950,16565,2.07,4.9,3,4.74,工作負擔過重,8.57,1.36,正向,是,2017-10-30,是
E0078,員工078,女,51,2021-01-25,營運,總監,20,0,5,37801,29263,19485,3.68,4.85,3,2.06,工作壓力大,3.1,1.13,正向,否,2023-12-03,否
E0079,員工079,男,29,2018-12-20,工程,專員,19,9,3,59464,4578,852,4.8,2.33,0,3.82,對公司文化滿意,6.47,4.52,負向,是,2020-02-28,是
E0080,員工080,女,58,2014-12-24,財務,專員,22,6,1,111744,18675,6608,4.85,4.71,3,1.87,工作負擔過重,7.02,4.58,正向,否,2015-08-17,否
E0081,員工081,女,30,2020-11-23,工程,經理,23,8,3,46940,28228,4958,4.61,3.66,1,1.59,薪資有競爭力,5.52,4.15,正向,否,2024-06-08,否
E0082,員工082,女,25,2013-09-24,人資,主管,23,10,0,106108,33212,19302,3.97,1.66,3,2.36,希望有更多學習機會,2.31,3.54,正向,是,2017-03-01,否
E0083,員工083,女,30,2018-08-26,營運,資深經理,25,1,5,95214,46372,7361,1.61,1.14,2,1.21,工作壓力大,3.77,1.78,中立,否,2019-08-09,是
E0084,員工084,男,46,2014-10-31,人資,主管,25,6,4,57250,11855,8563,3.66,4.48,2,2.7,對公司文化滿意,9.26,3.8,正向,否,2017-03-25,否
E0085,員工085,男,34,2019-05-18,產品,資深專員,20,5,0,84435,18514,2502,3.98,4.62,1,2.98,工作負擔過重,9.91,1.81,負向,否,2022-07-03,否
E0086,員工086,女,59,2023-02-27,人資,主管,19,8,1,113121,28724,2018,3.62,4.75,1,1.93,希望有更多學習機會,9.8,1.06,中立,否,2026-03-19,否
E0087,員工087,男,43,2015-10-13,產品,主管,20,4,5,101354,40432,14137,2.41,2.41,1,3.78,工作負擔過重,2.96,1.7,正向,否,2019-09-28,否
E0088,員工088,男,27,2023-03-20,財務,總監,23,0,3,118953,37981,8358,4.01,1.47,0,4.31,希望有更多學習機會,8.73,3.06,正向,是,2024-05-06,是
E0089,員工089,男,35,2011-02-05,財務,主管,20,1,3,118810,15861,12421,2.07,1.18,2,4.47,希望有更多學習機會,3.19,2.81,中立,否,2013-05-26,否
E0090,員工090,男,35,2014-02-09,人資,專員,18,3,0,35010,44337,10038,2.17,2.44,2,1.62,薪資有競爭力,6.88,1.49,負向,否,2014-12-10,是
E0091,員工091,女,40,2019-11-05,工程,主管,24,5,0,48052,31850,19392,2.98,2.43,2,2.87,工作負擔過重,2.59,1.12,正向,否,2020-12-18,是
E0092,員工092,女,24,2015-02-25,產品,資深經理,22,4,4,79231,35140,12135,2.94,2.02,0,3.98,對公司文化滿意,4.81,1.82,正向,是,2017-08-23,否
E0093,員工093,男,55,2010-03-14,財務,專員,25,3,4,88363,20305,2722,1.41,1.24,3,3.72,薪資有競爭力,5.68,4.7,正向,是,2013-03-11,否
E0094,員工094,女,32,2010-07-06,行銷,資深經理,22,9,2,111577,22522,5529,4.5,3.84,1,4.2,希望有更多學習機會,8.94,3.19,負向,否,2014-07-03,否
E0095,員工095,男,36,2014-06-22,客服,資深專員,22,5,2,63370,11724,427,1.72,4.23,3,1.49,薪資有競爭力,2.78,2.91,中立,是,2015-02-03,是
E0096,員工096,女,36,2020-07-11,客服,經理,18,2,2,71212,20570,17878,1.23,4.33,0,2.39,工作負擔過重,8.41,3.3,正向,是,2023-03-13,是
E0097,員工097,女,47,2010-03-29,客服,總監,23,0,3,84545,16759,16611,4.36,3.91,0,1.86,工作壓力大,8.68,2.57,中立,是,2011-09-05,否
E0098,員工098,女,25,2012-04-10,財務,資深經理,22,10,4,81514,28062,1582,3.58,1.24,2,4.08,對公司文化滿意,8.41,1.26,中立,否,2013-09-03,否
E0099,員工099,女,33,2021-10-27,行銷,主管,21,6,0,89263,40961,16615,4.56,4.63,1,4.04,工作壓力大,3.83,3.77,正向,是,2023-05-23,是
E0100,員工100,男,23,2018-05-03,營運,主管,20,9,1,97088,6354,11320,2.13,1.72,3,3.44,對公司文化滿意,9.6,2.13,正向,否,2020-01-31,是
